Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Christian (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,School of Journalism,Not 1st Generation,Asian/Pacific Islander,Female,No,"I am worried the wait time will be too long,I don't have time,I am worried about cost",Somewhat disagree,"Coping with academic-related stress,Help with interpersonal relationships,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Student organizations,Friends,Family","Soldari-tea,Active Minds,ResilientNU,Appointment at CAPS","Friend Group,Student organization",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Neither agree nor disagree,Strongly agree,Somewhat agree,"Weekly religious services,Alice Millar Chapel Choir concerts",Somewhat disagree,"None of the chaplains reflect my identity,I have other sources of support",Somewhat disagree,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 11-15 hours,Strongly agree,Somewhat agree,Neither agree nor disagree,"First year,Second year,Third year,Fourth year"
Presbyterian,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Second Year,School of Engineering,Not 1st Generation,Asian/Pacific Islander,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family","ResilientNU,Appointment at CAPS",Friend Group,Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Strongly agree,Strongly agree,Strongly agree,Weekly religious services,Somewhat disagree,I did not know chaplain services existed at Northwestern,Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
No answer,No answer,Cisgender man,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Two or More Races,Male,Yes,No answer,Somewhat disagree,Emergency mental health care,"Crisis consultation,Individual therapy at CAPS",I met with someone at CAPS for a short period of time and felt I no longer needed treatment.,No answer,Once,No answer,Somewhat disagree,"The counseling I received did not adequately address my concerns or needs.,CAPS was not prepared to handle my specific need.","Yes, during office hours (8:30am-5pm)",No answer,No answer,No answer,No answer,Somewhat agree,Strongly disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors",No answer,"Soldari-tea,Let's Talk,Drop-In Hours at CARE,NU Peer Support Group,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Somewhat agree,Somewhat disagree,Somewhat disagree,Drop-in meditation,Strongly disagree,No answer,No answer,No,Yes,Do not use SES services/Unable to judge,Somewhat disagree,Somewhat agree,No,No answer,Strongly disagree,Neither agree nor disagree,Somewhat agree,"Second year,Third year"
Agnostic,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Third Year,School of Communication,Not 1st Generation,International,Male,No,"Haven't needed any CAPS services,I am worried the wait time will be too long",Somewhat agree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat agree,Somewhat agree,Somewhat agree,"Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Student organizations,Sports teams,Friends,Family,Peer advisors",No answer,"Friend Group,Family",Strongly disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Strongly agree,No answer,Strongly agree,Strongly agree,Strongly agree,No answer,Strongly disagree,I don't trust that the conversation would be truly confidential,Somewhat agree,Yes,No,Do not use SES services/Unable to judge,Somewhat agree,Somewhat agree,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
Atheist,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,White,Female,Yes,No answer,Somewhat agree,"Coping with academic-related stress,Counseling on a Medical Leave of Absence",No answer,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,No answer,2021-2022,Somewhat disagree,The wait was too long for me to follow through and receive help.,No,No answer,"I didn't feel like they would provide helpful support, and was worried they would take more drastic action than needed. I have contacted a non-university crisis line instead",No,No answer,Somewhat agree,Strongly disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family,Faculty or academic advisors,ANU, therapist","Soldari-tea,Drop-In Hours at the Women's Center,Let's Talk,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Strongly disagree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,I had a lack of information and guidance about the MLOA process,Lack of financial support if my MLOA was approved,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Drop-in meditation,Confidential chaplain consultations",Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Somewhat agree,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 1-5 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,Yes,No answer,Strongly disagree,Coping with academic-related stress,Individual therapy at CAPS,Other,I tried and disliked it,Four to six times,2019-2020,Strongly disagree,"CAPS staff could not relate to my identities/experiences.,The wait was too long for me to follow through and receive help.","Yes, outside of office hours",No answer,No answer,No,No answer,Somewhat disagree,Somewhat disagree,Somewhat disagree,Personal experience with CAPS,"Friends,Family,Faculty or academic advisors",Appointment at CAPS,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Atheist,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),Middle Eastern or North African (Examples: Lebanese, Iranian, Egyptian, Syrian, Moroccan)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Two or More Races,Male,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care","Crisis consultation,Individual therapy at CAPS",I met with someone at CAPS for a short period of time and felt I no longer needed treatment.,No answer,Two to three times,2019-2020,Somewhat agree,No answer,"Yes, outside of office hours",No answer,No answer,No,No answer,Strongly agree,Strongly agree,Strongly agree,Personal experience with CAPS,"Sports teams,Friends",NU Peer Support Group,"Friend Group,Family",Strongly agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Alice Millar Chapel Choir concerts,Somewhat agree,No answer,No answer,Yes,No,Strongly agree,Strongly agree,Strongly agree,No,Less than 1 hour,Strongly agree,Somewhat agree,No answer,First year
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fourth Year,School of Educ & Soc Policy,First Generation College,White,Female,No,I have an external provider for mental and psychological health,Neither agree nor disagree,"Coping with academic-related stress,Emergency mental health care,Help transitioning to Northwestern,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat agree,Somewhat disagree,Somewhat agree,"Friends,Student advocacy groups (e.g. Reform CAPS),Peer advisors and student mentors,CAPS staff and external communications","Friends,Family,Faculty or academic advisors","Soldari-tea,Drop-In Hours at the Women's Center,Let's Talk,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare",Friend Group,Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts",Somewhat agree,No answer,No answer,Yes,Yes,Somewhat agree,Somewhat agree,Strongly agree,"Yes, one",Between 1-5 hours,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
Eastern Orthodox,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Communication,Not 1st Generation,Two or More Races,Female,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I don't have time",Somewhat disagree,"Coping with academic-related stress,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","Friends,Family,Faculty or academic advisors","Drop-In Hours at CARE,NU Peer Support Group,ResilientNU,Appointment at CAPS","Friend Group,Family,Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Neither agree nor disagree,No answer,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No answer,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,"Yes, more than one",Between 11-15 hours,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"First year,Third year"
No answer,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,International,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Friends,Family",No answer,No answer,Somewhat agree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Somewhat agree,No,No,No answer,Strongly agree,No answer,"Yes, one",Less than 1 hour,Somewhat disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender man,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fourth Year,School of Engineering,First Generation College,Hispanic,Male,Yes,No answer,Strongly disagree,Coping with academic-related stress,Did not make it past screening call,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Once,2019-2020,Somewhat disagree,The wait was too long for me to follow through and receive help.,No,I have not needed to,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,"Personal experience with CAPS,Friends","Friends,Family",Appointment at CAPS,Friend Group,Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Strongly disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,No,Between 11-15 hours,Neither agree nor disagree,Strongly agree,Somewhat disagree,"First year,Second year"
Catholic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),Middle Eastern or North African (Examples: Lebanese, Iranian, Egyptian, Syrian, Moroccan)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Hispanic,Female,Yes,No answer,Neither agree nor disagree,"Coping with academic-related stress,Help with interpersonal relationships,Help transitioning to Northwestern,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",Tried to schedule a consultation,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Once,2020-2021,Strongly disagree,The wait was too long for me to follow through and receive help.,No,I have not needed to,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends","Student organizations,CARE,Friends,Family","Drop-In Hours at CARE,Appointment at CAPS","Friend Group,Family,Student organization",Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Alice Millar Chapel Choir concerts,Strongly disagree,"I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,"Yes, more than one",Between 6-10 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
